sampleId,locality,lat,long,city,province,country,sampleId_orig,continent,min_day,max_day,min_month,max_month,year,jday,exactDate,sr_season,bio_rep,tech_rep,exp_rep,loc_rep,fruit_type,subsample,nFlies,fly_type,library_type,sampling_strategy,seq_platform,set,collector,SRA_Accession,reference,SequencingId,low_qual,DIN,DNA_result,DNA_Status,library_result,totalreads,SimCont.Norm,pcrdup,pNpS,private,Cov,Miss,Recommendation,collapsedSamples,N,cluster1.0,cluster2.0_k4,cluster2.0_k5,cluster2.0_k8,fruit_type_curated,internal_sample_name,SRA_accession,Reference,newName
AT_Wie_Gro_1_2012-08-03,AT_Wie_Gro,48.2,16.37,Gross-Enzersdorf,Wien,Austria,AT_gr_12_spring,Europe,3,3,8,8,2012,216,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,62,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590553,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.0131446867808701,0.015001,0.320072576775432,4.10023265196451,31.9912789825157,0.0460135606348485,Pass,NA,NA,2,2,1,8,NA,NA,NA,NA,NA
AT_Wie_Gro_1_2012-10-20,AT_Wie_Gro,48.2,16.37,Gross-Enzersdorf,Wien,Austria,AT_gr_12_fall,Europe,20,20,10,10,2012,294,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,44,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,Fabian/Flatt,SRR3590552,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.0133614986804327,0.022531,0.356465701545416,4.43410562246242,71.1360680386268,0.0520071845837198,Pass,NA,NA,2,2,1,8,NA,NA,NA,NA,NA
CA_Ont_Sud_1_2015-08-03,CA_Ont_Sud,46.53,-80.96,Sudbury,Ontario,Canada,ON_su_15_spring,North_America,3,3,8,8,2015,215,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,108,wild,pooled,NA,Illumina HiSeq 4000,DrosRTEC,T._Merrit,SRR3939091,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00845774820204036,0.165494,0.342425068766006,3.71113207230684,219.286104590106,0.081287614843416,Pass,NA,NA,4,4,3,4,NA,NA,NA,NA,NA
CA_Ont_Sud_1_2015-09-30,CA_Ont_Sud,46.53,-80.96,Sudbury,Ontario,Canada,ON_su_15_fall,North_America,30,30,9,9,2015,273,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,110,wild,pooled,NA,Illumina HiSeq 4000,DrosRTEC,T._Merrit,SRR3939092,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00817614675376197,0.065692,0.358403710982454,4.20109656503947,77.5475122983032,0.060216265482113,Pass,NA,NA,4,4,3,4,NA,NA,NA,NA,NA
ES_Bar_Bar_1_2012-07-13,ES_Bar_Bar,41.38,2.17,Barcelona,Barcelona,Spain,ES_ba_12_spring,Europe,13,13,7,7,2012,195,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,55,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,J._Gonzalez,SRR3590549,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.012367972755001,0.010798,0.319548062269104,3.92854946700166,32.2659238210948,0.0485090435777713,Pass,NA,NA,3,3,2,2,NA,NA,NA,NA,NA
ES_Bar_Bar_1_2012-10-16,ES_Bar_Bar,41.38,2.17,Barcelona,Barcelona,Spain,ES_ba_12_fall,Europe,1,30,10,10,2012,290,FALSE,fall,BR-1,TR-1,NA,NA,NA,1,29,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,J._Gonzalez,SRR3590548,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.0120986109917856,0.008705,0.33375938194548,4.08328756932728,48.8335095268861,0.0437519988857198,Pass,NA,NA,3,3,2,2,NA,NA,NA,NA,NA
UA_Ode_Ode_1_2013-05-16,UA_Ode_Ode,46.49,30.71,Odesa,Odessa,Ukraine,UA_od_13_spring,Europe,1,30,5,5,2013,136,FALSE,spring,BR-1,TR-1,NA,NA,NA,1,37,wild,pooled,NA,Illumina HiSeq 4000,DrosRTEC,I._Kozeretska,SRR3939055,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00901588661243606,0.513922,0.352776758055271,4.34088017341365,60.1085138501718,0.0567511258064093,Pass,NA,NA,3,2,1,8,NA,NA,NA,NA,NA
UA_Ode_Ode_1_2013-10-15,UA_Ode_Ode,46.49,30.71,Odesa,Odessa,Ukraine,UA_od_13_fall,Europe,1,30,10,10,2013,288,FALSE,fall,BR-1,TR-1,NA,NA,NA,1,61,wild,pooled,NA,Illumina HiSeq 4000,DrosRTEC,I._Kozeretska,SRR3939053,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.00829142088721253,0.281093,0.34495493319434,4.0306806639999,73.0626295389157,0.0516747447128715,Pass,NA,NA,3,2,1,8,NA,NA,NA,NA,NA
US_Cal_Esp_1_2012-06-13,US_Cal_Esp,38.68,-122.046,Esparto,California,USA,CA_es_12_spring,North_America,13,13,6,6,2012,165,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,27,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,H._Machado,SRR3939042,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.0100785125225511,0.103721,0.345669205588618,4.18301346308193,63.6321319081861,0.0498596715494076,Pass,NA,NA,4,4,3,4,NA,NA,NA,NA,NA
US_Cal_Esp_1_2012-08-22,US_Cal_Esp,38.68,-122.046,Esparto,California,USA,CA_es_12_fall,North_America,22,22,8,8,2012,235,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,92,wild,pooled,NA,Illumina HiSeq 2000,DrosRTEC,H._Machado,SRR3939043,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA,0.0146503192533771,0.076901,0.336346918987596,4.01649013162083,53.6685684296413,0.0530695362293942,Pass,NA,NA,4,4,3,4,NA,NA,NA,NA,NA
