# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
128up	FBgn0010339	FBtr0087976	protein_coding	0	27	0	213	1	0	1	121	0	15	0	0	0	0	4	0	0	0	0	23	79
14-3-3epsilon	FBgn0020238	FBtr0083565	protein_coding	0	3	0	258	0	1	3	75	0	62	0	0	0	0	0	0	0	0	0	2	118
14-3-3epsilon	FBgn0020238	FBtr0083566	protein_coding	0	3	0	305	6	1	5	107	0	62	0	0	0	0	0	0	0	0	0	2	125
14-3-3epsilon	FBgn0020238	FBtr0083567	protein_coding	0	3	0	258	0	1	3	75	0	62	0	0	0	0	0	0	0	0	0	2	118
14-3-3epsilon	FBgn0020238	FBtr0083568	protein_coding	0	3	0	309	12	1	5	105	0	62	0	0	0	0	0	0	0	0	0	2	125
14-3-3zeta	FBgn0004907	FBtr0088412	protein_coding	0	5	0	183	11	0	1	59	0	71	0	0	0	0	1	0	0	0	0	4	42
14-3-3zeta	FBgn0004907	FBtr0088413	protein_coding	0	5	0	147	5	0	2	46	0	60	0	0	0	0	1	0	0	0	0	4	35
14-3-3zeta	FBgn0004907	FBtr0088414	protein_coding	0	3	0	168	11	0	2	59	0	61	0	0	0	0	1	0	0	0	0	3	35
14-3-3zeta	FBgn0004907	FBtr0088415	protein_coding	0	3	0	185	11	0	1	59	0	72	0	0	0	0	1	0	0	0	0	3	42
14-3-3zeta	FBgn0004907	FBtr0088416	protein_coding	0	1	0	168	5	0	1	46	0	74	0	0	0	0	0	0	0	0	0	1	42
14-3-3zeta	FBgn0004907	FBtr0088417	protein_coding	0	5	0	166	11	0	4	59	0	58	0	0	0	0	1	0	0	0	0	4	35
